predict_date,class_id,predict_quantity
201711,103507,9690.0
201711,124140,5338.0
201711,125403,6453.0
201711,136916,8009.0
201711,169673,1404.0
201711,175962,16022.0
201711,178529,4699.0
201711,186250,3027.0
201711,194201,121.0
201711,194450,13445.0
201711,198427,6717.0
201711,206765,50310.0
201711,209945,8031.0
201711,219195,5760.0
201711,221795,12583.0
201711,245609,3675.0
201711,248352,13097.0
201711,249875,2273.0
201711,250658,3854.0
201711,265980,4881.0
201711,270690,23545.0
201711,281301,14842.0
201711,281792,13569.0
201711,289386,14655.0
201711,289403,6396.0
201711,290854,6421.0
201711,291086,24508.0
201711,291514,2646.0
201711,302513,1843.0
201711,304458,15530.0
201711,308913,12308.0
201711,321683,112791.0
201711,340175,1494.0
201711,347384,64391.0
201711,348641,13319.0
201711,349023,21109.0
201711,350259,26420.0
201711,354068,31875.0
201711,356986,18302.0
201711,359378,128.0
201711,360648,7989.0
201711,376193,182.0
201711,378356,8221.0
201711,378536,1287.0
201711,379265,2848.0
201711,379876,3584.0
201711,384924,21449.0
201711,392593,3225.0
201711,395234,2343.0
201711,401052,3534.0
201711,409854,47657.0
201711,412240,3484.0
201711,416749,7986.0
201711,417803,190.0
201711,425432,90379.0
201711,436105,12618.0
201711,437063,1892.0
201711,437598,2779.0
201711,453752,11914.0
201711,468392,7097.0
201711,472603,7497.0
201711,475895,1545.0
201711,481950,2686.0
201711,482497,3356.0
201711,492952,6229.0
201711,496459,17103.0
201711,501564,2353.0
201711,510309,7457.0
201711,516750,2811.0
201711,526401,6796.0
201711,527765,321.0
201711,527809,11106.0
201711,540712,4608.0
201711,559132,4709.0
201711,560265,8162.0
201711,569154,4412.0
201711,576298,8475.0
201711,580470,15412.0
201711,580634,11132.0
201711,587678,12640.0
201711,591790,8284.0
201711,597927,16421.0
201711,603972,12535.0
201711,612523,459.0
201711,614059,10386.0
201711,619401,4266.0
201711,621073,39948.0
201711,628041,37462.0
201711,649213,3955.0
201711,651347,9460.0
201711,651782,4653.0
201711,653436,342.0
201711,654134,11008.0
201711,671482,3689.0
201711,682651,9184.0
201711,683364,1149.0
201711,687270,2215.0
201711,692703,11606.0
201711,693436,3950.0
201711,713651,10290.0
201711,714150,2033.0
201711,714152,11374.0
201711,714860,7516.0
201711,725137,311.0
201711,732758,5462.0
201711,735971,76527.0
201711,736094,4955.0
201711,739296,18127.0
201711,741152,17886.0
201711,743957,8746.0
201711,745137,52050.0
201711,750340,3000.0
201711,760412,535.0
201711,786351,6602.0
201711,789290,657.0
201711,810398,2588.0
201711,815230,2069.0
201711,819061,8831.0
201711,842246,524.0
201711,851857,4022.0
201711,854079,10854.0
201711,854548,1201.0
201711,861459,2129.0
201711,871642,11122.0
201711,872180,486.0
201711,883691,9240.0
201711,890189,8515.0
201711,905061,823.0
201711,905745,2853.0
201711,914348,31667.0
201711,923841,13416.0
201711,924154,32901.0
201711,948936,951.0
201711,950264,20029.0
201711,953842,20777.0
201711,961362,4931.0
201711,961962,5768.0
201711,963845,7971.0
201711,973106,1897.0
201711,978089,21993.0
